ra dec zspec source id
150.0524292 2.29737902 2.1613540649414062 MOSDEF -9999
150.07159424 2.1801362 2.313591480255127 MOSDEF 234
150.08889771 2.18496251 2.073117256164551 MOSDEF 471
150.09063721 2.18515229 2.067838191986084 MOSDEF 532
150.10438538 2.18524051 2.0810115337371826 MOSDEF 541
150.0716095 2.18990088 2.2903168201446533 MOSDEF 964
150.14967346 2.19105363 2.100252151489258 MOSDEF 1014
150.10554504 2.19054222 2.234029531478882 MOSDEF 1067
150.11557007 2.19142079 2.079298973083496 MOSDEF 1148
150.06974792 2.19376016 2.303159475326538 MOSDEF 1382
150.1565094 2.1955905 2.4357798099517822 MOSDEF 1538
150.05900574 2.19767427 2.299863338470459 MOSDEF 1740
150.05488586 2.1982007 2.296999931335449 MOSDEF 1769
150.05769348 2.19742513 2.298558235168457 MOSDEF 1795
150.06164551 2.20538759 2.3158533573150635 MOSDEF 2575
150.12947083 2.2071979 2.307407855987549 MOSDEF 2672
150.05958557 2.20729566 2.298067808151245 MOSDEF 2786
150.07241821 2.20855379 2.3168954849243164 MOSDEF 2872
150.09695435 2.20917034 2.1733601093292236 MOSDEF 2887
150.12249756 2.21033955 2.3080620765686035 MOSDEF 3112
150.13258362 2.21209502 2.1064655780792236 MOSDEF 3146
150.07600403 2.21182942 2.102060556411743 MOSDEF 3182
150.11828613 2.21094251 2.173247814178467 MOSDEF 3185
150.11592102 2.21166992 2.084437608718872 MOSDEF 3226
150.14840698 2.21313357 2.3071937561035156 MOSDEF 3324
150.10473633 2.21573091 2.3246936798095703 MOSDEF 3626
150.07752991 2.21603322 2.085876703262329 MOSDEF 3666
150.07943726 2.21715331 2.3014540672302246 MOSDEF 3895
150.09251404 2.21842647 2.0978128910064697 MOSDEF 3974
150.07723999 2.2185936 2.1055662631988525 MOSDEF 4001
150.06781006 2.21943521 2.441103935241699 MOSDEF 4078
150.08572388 2.22317672 2.197026014328003 MOSDEF 4446
150.07147217 2.22387266 2.441387176513672 MOSDEF 4497
150.10498047 2.22623253 2.4398531913757324 MOSDEF 4717
150.09962463 2.22811079 2.099144697189331 MOSDEF 4915
150.12098694 2.22879481 2.226081132888794 MOSDEF 4930
150.09928894 2.22804236 2.0812649726867676 MOSDEF 4945
150.1403656 2.23018551 2.17148756980896 MOSDEF 5094
150.13833618 2.23000908 2.144277811050415 MOSDEF 5107
150.06158447 2.23363066 2.5220417976379395 MOSDEF 5462
150.12110901 2.23542571 2.43544340133667 MOSDEF 5640
150.05580139 2.23610973 2.4276723861694336 MOSDEF 5681
150.10235596 2.23818326 2.0975489616394043 MOSDEF 5912
150.10946655 2.24007177 2.4413816928863525 MOSDEF 6079
150.11528015 2.24191332 2.223814010620117 MOSDEF 6283
150.0958252 2.24287438 2.438194751739502 MOSDEF 6379
150.09602356 2.24298048 2.0998520851135254 MOSDEF 6417
150.07247925 2.24376678 2.437561511993408 MOSDEF 6425
150.0627594 2.24773169 2.435065507888794 MOSDEF 6826
150.1448822 2.24817467 2.1523327827453613 MOSDEF 6889
150.07658386 2.24968266 2.301342248916626 MOSDEF 6963
150.11836243 2.25172544 2.2236194610595703 MOSDEF 7160
150.10333252 2.25850582 2.4399123191833496 MOSDEF 7735
150.1104126 2.25861549 2.450871706008911 MOSDEF 7747
150.135849 2.25997376 2.1527717113494873 MOSDEF 7883
150.11877441 2.26230001 2.199183464050293 MOSDEF 8067
150.07852173 2.26190209 2.163259506225586 MOSDEF 8081
150.0662384 2.26312828 2.0978713035583496 MOSDEF 8188
150.08650208 2.2643168 2.494039297103882 MOSDEF 8280
150.0849762 2.26406002 2.199354887008667 MOSDEF 8284
150.14877319 2.2720511 2.1988213062286377 MOSDEF 9044
150.11193848 2.27758121 2.491525888442993 MOSDEF 9638
150.06866455 2.27975321 2.1247429847717285 MOSDEF 9801
150.07800293 2.281317 2.0438802242279053 MOSDEF 9973
150.12136841 2.28514028 2.561964988708496 MOSDEF 10056
150.14494324 2.28239441 2.4133574962615967 MOSDEF 10066
150.14953613 2.2830801 2.0975687503814697 MOSDEF 10085
150.06163025 2.2831409 2.3774757385253906 MOSDEF 10143
150.1491394 2.28348541 2.5643045902252197 MOSDEF 10179
150.12892151 2.28411531 2.0999157428741455 MOSDEF 10235
150.14228821 2.28422689 2.1945416927337646 MOSDEF 10280
150.08576965 2.28514099 2.1010327339172363 MOSDEF 10314
150.09515381 2.28778839 2.2200748920440674 MOSDEF 10626
150.09527588 2.28790689 2.3633203506469727 MOSDEF 10657
150.07058716 2.28918958 2.246467351913452 MOSDEF 10719
150.07089233 2.28932238 2.2504403591156006 MOSDEF 10766
150.08439636 2.29048967 2.1032252311706543 MOSDEF 10769
150.07392883 2.29798269 2.0889999866485596 MOSDEF 11494
150.11932373 2.29685378 2.0968751907348633 MOSDEF 11530
150.09049988 2.2973218 2.527358055114746 MOSDEF 11597
150.06837463 2.29837227 2.160098075866699 MOSDEF 11615
150.13363647 2.30281043 2.411191701889038 MOSDEF 12057
150.09968567 2.31181264 2.4425606727600098 MOSDEF 12995
150.11509705 2.31529069 2.1671533584594727 MOSDEF 13296
150.11030579 2.31475353 2.3089752197265625 MOSDEF 13299
150.13871765 2.31530762 2.150836706161499 MOSDEF 13364
150.11271667 2.31943941 2.1659014225006104 MOSDEF 13701
