|          ra|       dec|  zspec| source|        id|  gmag|  rmag|  imag|tomo_flag|
|      double|    double| double|   char|      long|double|double|double|     long|
|         deg|       deg|       |       |          |      |      |      |         |
|        null|      null|   null|   null|      null|  null|  null|  null|     null|
  150.0524292 2.29737902 2.16135  MOSDEF      -9999  -99.0  -99.0  -99.0         1 
 150.07159424  2.1801362 2.31359  MOSDEF        234 26.258 25.954 26.116         1 
 150.08889771 2.18496251 2.07312  MOSDEF        471 24.657 24.523 24.281         1 
 150.09063721 2.18515229 2.06784  MOSDEF        532  -99.0  -99.0  -99.0         1 
 150.10438538 2.18524051 2.08101  MOSDEF        541  25.04 24.904 24.634         1 
  150.0716095 2.18990088 2.29032  MOSDEF        964 25.843 25.294 24.981         1 
 150.14967346 2.19105363 2.10025  MOSDEF       1014 23.726  23.18 22.754         1 
 150.10554504 2.19054222 2.23403  MOSDEF       1067 25.909 25.669 25.528         1 
 150.11557007 2.19142079  2.0793  MOSDEF       1148 25.601 25.202  25.13         1 
 150.06974792 2.19376016 2.30316  MOSDEF       1382  -99.0  -99.0  -99.0         1 
  150.1565094  2.1955905 2.43578  MOSDEF       1538 24.271   23.9 23.811         1 
 150.05900574 2.19767427 2.29986  MOSDEF       1740 25.834 25.261 25.029         1 
 150.05488586  2.1982007   2.297  MOSDEF       1769  26.41 25.452 24.916         1 
 150.05769348 2.19742513 2.29856  MOSDEF       1795  -99.0  -99.0  -99.0         1 
 150.06164551 2.20538759 2.31585  MOSDEF       2575 26.291 25.534 25.279         1 
 150.12947083  2.2071979 2.30741  MOSDEF       2672 24.099 23.654 23.406         1 
 150.05958557 2.20729566 2.29807  MOSDEF       2786 25.497 25.035 24.907         1 
 150.07241821 2.20855379  2.3169  MOSDEF       2872 25.896 25.684 25.504         1 
 150.09695435 2.20917034 2.17336  MOSDEF       2887  -99.0  -99.0  -99.0         1 
 150.12249756 2.21033955 2.30806  MOSDEF       3112 25.177 24.598 24.534         1 
 150.13258362 2.21209502 2.10647  MOSDEF       3146  -99.0  -99.0  -99.0         1 
 150.07600403 2.21182942 2.10206  MOSDEF       3182  -99.0  -99.0  -99.0         1 
 150.11828613 2.21094251 2.17325  MOSDEF       3185 25.456 25.066 24.845         1 
 150.11592102 2.21166992 2.08444  MOSDEF       3226  25.19 24.829 24.694         1 
 150.14840698 2.21313357 2.30719  MOSDEF       3324 24.868 24.414 24.231         1 
 150.10473633 2.21573091 2.32469  MOSDEF       3626 23.648 23.519 23.492         1 
